"author","title category","title","date","page"
"u'Brad Sylvester',","u'Our World',","u'10 Hot Spots Where Global Conflict Could Erupt',","u'February 16, 2017',",1
" u'Jana Louise Smit',"," u'History',"," u'10 Amazing Archaeological Finds Made By Scans',"," u'February 16, 2017',",1
" u'Ian Montgomery',"," u'Health',"," u'10 Mutant Genes That Could Make You Superhuman',"," u'February 16, 2017',",1
" u'Morris M.',"," u'Books',"," u'10 Dystopian Books You Need To Read To Understand Today's America',"," u'February 15, 2017',",1
" u'Elizabeth Yetter',"," u'History',"," u'10 Horrors Of The Great Plague Of London',"," u'February 15, 2017',",1
" u'Shannon Quinn',"," u'Animals',"," u'10 Incredible Pets That Returned Home After Years Of Being Lost',"," u'February 15, 2017',",1
" u'Elizabeth Yetter',"," u'Pop Culture',"," u'10 Fascinating Facts About The Wild West Shows',"," u'February 14, 2017',",1
" u'Geordie McElroy',"," u'Mysteries',"," u'Top 10 Mysteries Of The Phoenicians',"," u'February 14, 2017',",1
" u'Mark Oliver',"," u'History',"," u'10 Bizarre Facts About Lupercalia, The Original St Valentine's Day',"," u'February 14, 2017',",1
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",1
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",1
" u'David Tormsen',"," u'Space',"," u'10 Hypothetical Forms Of Life',"," u'July 17, 2015',",1
" u'Leonius',"," u'Creepy',"," u'10 Creepypasta That Will Scare You Silly',"," u'April 3, 2014',",1
" u'GCchange',"," u'Crime',"," u'10 Poisons Used To Kill People',"," u'December 2, 2012',",1
" u'Jamie Frater'"," u'Weird Stuff'"," u'Top 10 Incredible Recordings'"," u'July 15, 2007'",1
"u'Mark Oliver',","u'History',","u'10 Defining Moments In The Childhood Of Martin Luther King Jr.',","u'February 13, 2017',",2
" u'Adam R. Ramos',"," u'Crime',"," u'Top 10 Dreadful Accounts Of Women Condemned To The Gallows',"," u'February 13, 2017',",2
" u'Jana Louise Smit',"," u'Our World',"," u'10 Mysterious Discoveries That Still Puzzle Archaeologists',"," u'February 13, 2017',",2
" u'Mark Oliver',"," u'Pop Culture',"," u'10 Celebrities With Backstories You Won't Believe',"," u'February 12, 2017',",2
" u'Jana Louise Smit',"," u'History',"," u'10 Fascinating Cave Finds That Will Blow Your Mind',"," u'February 12, 2017',",2
" u'Geordie McElroy',"," u'Mysteries',"," u'10 Incredible Mysteries Of Ancient Ireland',"," u'February 12, 2017',",2
" u'Marcus Lowth',"," u'Music',"," u'10 Controversial Songs That Left Their Mark On Pop Culture',"," u'February 11, 2017',",2
" u'Shannon Quinn',"," u'Weird Stuff',"," u'10 Vintage Educational Films About Sex',"," u'February 11, 2017',",2
" u'Jana Louise Smit',"," u'Creepy',"," u'Top 10 Remarkable Moments Involving Mummies',"," u'February 11, 2017',",2
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",2
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",2
" u'David Tormsen',"," u'Space',"," u'10 Hypothetical Forms Of Life',"," u'July 17, 2015',",2
" u'Leonius',"," u'Creepy',"," u'10 Creepypasta That Will Scare You Silly',"," u'April 3, 2014',",2
" u'GCchange',"," u'Crime',"," u'10 Poisons Used To Kill People',"," u'December 2, 2012',",2
" u'Jamie Frater'"," u'Weird Stuff'"," u'Top 10 Incredible Recordings'"," u'July 15, 2007'",2
"u'Geordie McElroy',","u'Crime',","u'10 Cases Of Murder By Suicide',","u'February 10, 2017',",3
" u'Shannon Quinn',"," u'Humans',"," u'10 Psychological Reasons Why People Are Afraid Of Clowns',"," u'February 10, 2017',",3
" u'Marielle Bodenheimer',"," u'Weird Stuff',"," u'10 Incredible Attic Finds That Will Really Surprise You',"," u'February 10, 2017',",3
" u'Mark Oliver',"," u'Religion',"," u'10 Weirdly Specific Gods Your Mythology Class Left Out',"," u'February 9, 2017',",3
" u'R. Hendrix',"," u'Weird Stuff',"," u'10 Outrageous Requests Made To Hotel Concierges',"," u'February 9, 2017',",3
" u'Jana Louise Smit',"," u'History',"," u'10 Surprising Discoveries Involving Ancient Pottery',"," u'February 9, 2017',",3
" u'J.M. Kerr',"," u'Pop Culture',"," u'Top 10 Celebrities Who Lived Double Lives',"," u'February 8, 2017',",3
" u""Bridget O'Ryan"","," u'Creepy',"," u'10 Gruesome Acts Of Self-Torture That Will Horrify You',"," u'February 8, 2017',",3
" u'Mark Oliver',"," u'History',"," u'10 Foreign Fighters Who Helped America Win Its Independence',"," u'February 8, 2017',",3
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",3
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",3
" u'David Tormsen',"," u'Space',"," u'10 Hypothetical Forms Of Life',"," u'July 17, 2015',",3
" u'Leonius',"," u'Creepy',"," u'10 Creepypasta That Will Scare You Silly',"," u'April 3, 2014',",3
" u'GCchange',"," u'Crime',"," u'10 Poisons Used To Kill People',"," u'December 2, 2012',",3
" u'Jamie Frater'"," u'Weird Stuff'"," u'Top 10 Incredible Recordings'"," u'July 15, 2007'",3
"u'Mark Oliver',"," u'Weird Stuff',","u'10 Incredibly Bizarre Ways People Died In Ancient Greece',","u'February 7, 2017',",4
" u'Eli Long',"," u'Health',"," u'10 Facts About Female Genital Mutilation That Will Horrify You',"," u'February 7, 2017',",4
" u'Elisabeth Sedgwick',"," u'Facts',"," u'10 Amazing Passenger Stories From The Titanic That Need To Be Told',"," u'February 7, 2017',",4
" u'Elizabeth Yetter',"," u'Weird Stuff',"," u'10 Bizarre Martian Reports From The Past',"," u'February 6, 2017',",4
" u'Geordie McElroy',"," u'Animals',"," u'Top 10 Toilet Terrors',"," u'February 6, 2017',",4
" u'Mark Oliver',"," u'Politics',"," u'10 Serious Problems With How We Get The News',"," u'February 6, 2017',",4
" u'Shannon Quinn',"," u'Movies and TV',"," u'10 Disney Propaganda Cartoons From World War II',"," u'February 5, 2017',",4
" u'A. C. Lu',"," u'Facts',"," u'10 Facts About The Kamikaze You Probably Didn't Know',"," u'February 5, 2017',",4
" u'Mark Oliver',"," u'History',"," u'10 Amazing Archaeological Revelations About The Philistines',"," u'February 5, 2017',",4
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",4
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",4
" u'David Tormsen',"," u'Space',"," u'10 Hypothetical Forms Of Life',"," u'July 17, 2015',",4
" u'Leonius',"," u'Creepy',"," u'10 Creepypasta That Will Scare You Silly',"," u'April 3, 2014',",4
" u'GCchange',"," u'Crime',"," u'10 Poisons Used To Kill People',"," u'December 2, 2012',",4
" u'Jamie Frater'"," u'Weird Stuff'"," u'Top 10 Incredible Recordings'"," u'July 15, 2007'",4
"u'Geordie McElroy',"," u'Mysteries',","u'10 Mysterious Ancient Dances',","u'February 4, 2017',",5
" u'Morris M.',"," u'Our World',"," u'10 Mind-Blowing Things That Happened Last Month',"," u'February 4, 2017',",5
" u'Abraham Rinquist',"," u'Crime',"," u'10 Cold Case Confessions That Will Shock You',"," u'February 4, 2017',",5
" u'Henry Cain',"," u'Our World',"," u'10 Times Meteors Have Impacted History',"," u'February 3, 2017',",5
" u'Mike Floorwalker',"," u'History',"," u'10 Undercover Operations That Just Didn't Work Out',"," u'February 3, 2017',",5
" u'Amanda',"," u'Crime',"," u'10 Real-Life Evil Stepmothers That Will Horrify You',"," u'February 3, 2017',",5
" u'Shannon Quinn',"," u'Movies and TV',"," u'Top 10 North Korean Propaganda Films',"," u'February 2, 2017',",5
" u'Adam R. Ramos',"," u'Crime',"," u'Top 10 Reasons Lizzie Borden Is Guilty Of Murder',"," u'February 2, 2017',",5
" u'Estelle Thurtle',"," u'Mysteries',"," u'10 Astonishing Mysteries From Remote Places',"," u'February 2, 2017',",5
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",5
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",5
" u'David Tormsen',"," u'Space',"," u'10 Hypothetical Forms Of Life',"," u'July 17, 2015',",5
" u'Leonius',"," u'Creepy',"," u'10 Creepypasta That Will Scare You Silly',"," u'April 3, 2014',",5
" u'GCchange',"," u'Crime',"," u'10 Poisons Used To Kill People',"," u'December 2, 2012',",5
" u'Jamie Frater'"," u'Weird Stuff'"," u'Top 10 Incredible Recordings'"," u'July 15, 2007'",5
"u'Mark Oliver',"," u'Our World',","u'10 Hilarious First Descriptions Of Things We Take For Granted',","u'February 1, 2017',",6
" u'Geordie McElroy',"," u'Crime',"," u'10 Deadly Cases Of Coitus Interruptus',"," u'February 1, 2017',",6
" u'Ian Montgomery',"," u'History',"," u'10 Mundane Jobs That Horrified Our Ancestors',"," u'February 1, 2017',",6
" u'Mark Oliver',"," u'Creepy',"," u'10 Truly Disgusting Facts About Life In Ancient China',"," u'January 31, 2017',",6
" u'Geordie McElroy',"," u'Facts',"," u'10 Secrets Of LSD That Will Blow Your Mind',"," u'January 31, 2017',",6
" u'Sam Dunsmore',"," u'Weird Stuff',"," u'10 Metal Detector Discoveries That Will Truly Amaze You',"," u'January 31, 2017',",6
" u'Estelle Thurtle',"," u'Creepy',"," u'10 Eerie Tales Surrounding Places Where Tragedies Took Place',"," u'January 30, 2017',",6
" u'Geordie McElroy',"," u'Animals',"," u'10 Ghoulish Corpse-Eating Creatures',"," u'January 30, 2017',",6
" u'Radu Alexander',"," u'History',"," u'10 Times The Praetorian Guard Changed The History Of Rome',"," u'January 30, 2017',",6
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",6
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",6
" u'David Tormsen',"," u'Space',"," u'10 Hypothetical Forms Of Life',"," u'July 17, 2015',",6
" u'Leonius',"," u'Creepy',"," u'10 Creepypasta That Will Scare You Silly',"," u'April 3, 2014',",6
" u'GCchange',"," u'Crime',"," u'10 Poisons Used To Kill People',"," u'December 2, 2012',",6
" u'Jamie Frater'"," u'Weird Stuff'"," u'Top 10 Incredible Recordings'"," u'July 15, 2007'",6
"u'Mark Oliver',"," u'Facts',","u'10 Tragic Facts From The Life Of Queen Victoria',","u'January 29, 2017',",7
" u'Geordie McElroy',"," u'Crime',"," u'10 Gruesome Murders By Fire',"," u'January 29, 2017',",7
" u'A. C. Grimes',"," u'Creepy',"," u'10 Family Secrets That Will Truly Horrify You',"," u'January 29, 2017',",7
" u'Brad Sylvester',"," u'History',"," u'10 Intriguing Cases Of Single Combat',"," u'January 28, 2017',",7
" u'Ben Gazur',"," u'Weird Stuff',"," u'10 Ancient Bog Bodies That Will Amaze You',"," u'January 28, 2017',",7
" u'Alex Hanton',"," u'Crime',"," u'10 Royal Murders That Shocked Medieval Europe',"," u'January 28, 2017',",7
" u'Listverse Staff',"," u'Space',"," u'Video: 10 Reasons We Still Haven't Found Aliens',"," u'January 27, 2017',",7
" u'Mike Floorwalker',"," u'Weird Stuff',"," u'10 Insane Names Parents Tried To Give Their Kids',"," u'January 27, 2017',",7
" u'A. C. Grimes',"," u'Crime',"," u'10 Gruesome Killers With Unsettling Obsessions',"," u'January 27, 2017',",7
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",7
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",7
" u'David Tormsen',"," u'Space',"," u'10 Hypothetical Forms Of Life',"," u'July 17, 2015',",7
" u'Leonius',"," u'Creepy',"," u'10 Creepypasta That Will Scare You Silly',"," u'April 3, 2014',",7
" u'GCchange',"," u'Crime',"," u'10 Poisons Used To Kill People',"," u'December 2, 2012',",7
" u'Jamie Frater'"," u'Weird Stuff'"," u'Top 10 Incredible Recordings'"," u'July 15, 2007'",7
"u'A. C. Lura',"," u'History',","u'10 Amazing Ways Colors Have Been Significant In History',","u'January 27, 2017',",8
" u'Shannon Quinn',"," u'Animals',"," u'10 Incredible Rescues By Dogs That Will Warm Your Heart',"," u'January 26, 2017',",8
" u'Morris M.',"," u'Crime',"," u'10 Cases Of Wrongful Arrest That Will Blow Your Mind',"," u'January 26, 2017',",8
" u'Benjamin Welton',"," u'History',"," u'10 Alternative Theories That Could Change Your View Of History',"," u'January 26, 2017',",8
" u'Mark Oliver',"," u'History',"," u'10 Details That Make History's Worst Tragedies Even Worse',"," u'January 25, 2017',",8
" u'Adam R. Ramos',"," u'Crime',"," u'10 Accounts Of Evil Servants That Will Terrify You',"," u'January 25, 2017',",8
" u'Estelle Thurtle',"," u'Movies and TV',"," u'10 Answers To Movie Questions You Always Wanted To Know',"," u'January 25, 2017',",8
" u'Mark Oliver',"," u'Animals',"," u'10 Facts About Ancient Egyptian Animals That Will Blow Your Mind',"," u'January 24, 2017',",8
" u'Radu Alexander',"," u'History',"," u'10 Dating Tips From History That Could Improve Your Love Life',"," u'January 24, 2017',",8
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",8
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",8
" u'David Tormsen',"," u'Space',"," u'10 Hypothetical Forms Of Life',"," u'July 17, 2015',",8
" u'Leonius',"," u'Creepy',"," u'10 Creepypasta That Will Scare You Silly',"," u'April 3, 2014',",8
" u'GCchange',"," u'Crime',"," u'10 Poisons Used To Kill People',"," u'December 2, 2012',",8
" u'Jamie Frater'"," u'Weird Stuff'"," u'Top 10 Incredible Recordings'"," u'July 15, 2007'",8
"u'A. C. Lura',"," u'Food',","u'10 Foods Made From Poop, Vomit, Or Spit. Would You Eat Them?',","u'January 24, 2017',",9
" u'Ronald Eayre',"," u'Pop Culture',"," u'10 Strange Facts About Disneyland That Will Really Surprise You',"," u'January 23, 2017',",9
" u'Geordie McElroy',"," u'Creepy',"," u'10 Mysterious Modern Mummies You've Never Heard Of',"," u'January 23, 2017',",9
" u'Jana Louise Smit',"," u'History',"," u'10 Ancient Reconstructions You Have To See To Believe',"," u'January 23, 2017',",9
" u'Mark Oliver',"," u'History',"," u'10 Stories From The Japanese Surrender That Everyone Should Know',"," u'January 22, 2017',",9
" u'Laura Martisiute',"," u'Facts',"," u'10 Of The Most Epic Typos You Will Ever See',"," u'January 22, 2017',",9
" u'Adam R. Ramos',"," u'Crime',"," u'10 Facts About Charles Manson's Imprisonment That Will Disgust You',"," u'January 22, 2017',",9
" u'Monte L. Richard II',"," u'Facts',"," u'10 Facts About Your Sense Of Touch That Will Really Surprise You',"," u'January 21, 2017',",9
" u'Geordie McElroy',"," u'Mysteries',"," u'10 Fascinating Ivory Artifacts Shrouded In Mystery',"," u'January 21, 2017',",9
" u'Mark Oliver',"," u'History',"," u'10 Truly Disgusting Facts About Ancient Roman Life',"," u'August 23, 2016',",9
" u'Marcus Lowth',"," u'Weird Stuff',"," u'10 Alleged Discoveries That Suggest Giants Existed',"," u'May 7, 2016',",9
